name,t,date,p_up,actual_up,n_up
AK-47 | Wasteland Rebel (Field-Tested),36,2026-08-26,0.4,1,4
AK-47 | Wasteland Rebel (Field-Tested),38,2026-08-28,0.0,0,0
AK-47 | Wasteland Rebel (Field-Tested),39,2026-08-29,0.8,1,8
AK-47 | Wasteland Rebel (Field-Tested),41,2026-08-31,0.0,1,0
AK-47 | Wasteland Rebel (Field-Tested),42,2026-09-03,0.0,0,0
AK-47 | Wasteland Rebel (Field-Tested),44,2026-09-05,0.0,0,0
AUG | Torque (Factory New),30,2026-08-20,1.0,0,10
AUG | Torque (Factory New),32,2026-08-22,0.6,0,6
AUG | Torque (Factory New),33,2026-08-23,0.5,0,5
AUG | Torque (Factory New),35,2026-08-25,0.6,0,6
AUG | Torque (Factory New),36,2026-08-26,0.8,0,8
AUG | Torque (Factory New),38,2026-08-28,0.3,0,3
AUG | Torque (Factory New),39,2026-08-29,0.6,0,6
AUG | Torque (Factory New),41,2026-08-31,0.4,0,4
AUG | Torque (Factory New),42,2026-09-03,0.5,0,5
AUG | Torque (Factory New),44,2026-09-05,0.8,0,8
AWP | Black Nile (Minimal Wear),30,2026-08-20,1.0,0,10
AWP | Black Nile (Minimal Wear),32,2026-08-22,1.0,0,10
AWP | Black Nile (Minimal Wear),33,2026-08-23,1.0,0,10
AWP | Black Nile (Minimal Wear),35,2026-08-25,1.0,0,10
AWP | Black Nile (Minimal Wear),36,2026-08-26,0.8,0,8
AWP | Black Nile (Minimal Wear),38,2026-08-28,0.5,0,5
AWP | Black Nile (Minimal Wear),39,2026-08-29,0.7,0,7
AWP | Black Nile (Minimal Wear),41,2026-08-31,0.5,0,5
AWP | Black Nile (Minimal Wear),42,2026-09-03,0.8,0,8
AWP | Black Nile (Minimal Wear),44,2026-09-05,0.6,0,6
CZ75-Auto | Tigris (Factory New),30,2026-08-20,1.0,1,10
CZ75-Auto | Tigris (Factory New),32,2026-08-22,0.8,1,8
CZ75-Auto | Tigris (Factory New),33,2026-08-23,0.5,0,5
CZ75-Auto | Tigris (Factory New),35,2026-08-25,0.6,0,6
CZ75-Auto | Tigris (Factory New),36,2026-08-26,0.8,0,8
CZ75-Auto | Tigris (Factory New),38,2026-08-28,0.9,0,9
CZ75-Auto | Tigris (Factory New),39,2026-08-29,0.8,0,8
CZ75-Auto | Tigris (Factory New),41,2026-08-31,0.7,0,7
CZ75-Auto | Tigris (Factory New),42,2026-09-03,0.5,0,5
CZ75-Auto | Tigris (Factory New),44,2026-09-05,0.7,0,7
Desert Eagle | Naga (Factory New),30,2026-08-20,0.8,1,8
Desert Eagle | Naga (Factory New),32,2026-08-22,0.5,0,5
Desert Eagle | Naga (Factory New),33,2026-08-23,0.5,1,5
Desert Eagle | Naga (Factory New),35,2026-08-25,0.8,1,8
Desert Eagle | Naga (Factory New),36,2026-08-26,0.7,0,7
Desert Eagle | Naga (Factory New),38,2026-08-28,0.7,0,7
Desert Eagle | Naga (Factory New),39,2026-08-29,0.8,0,8
Desert Eagle | Naga (Factory New),41,2026-08-31,0.4,0,4
Desert Eagle | Naga (Factory New),42,2026-09-03,0.3,0,3
Desert Eagle | Naga (Factory New),44,2026-09-05,0.4,0,4
Desert Eagle | Printstream (Field-Tested),30,2026-08-20,1.0,1,10
Desert Eagle | Printstream (Field-Tested),32,2026-08-22,1.0,0,10
Desert Eagle | Printstream (Field-Tested),33,2026-08-23,1.0,0,10
Desert Eagle | Printstream (Field-Tested),35,2026-08-25,1.0,0,10
Desert Eagle | Printstream (Field-Tested),36,2026-08-26,0.9,0,9
Desert Eagle | Printstream (Field-Tested),38,2026-08-28,0.9,0,9
Desert Eagle | Printstream (Field-Tested),39,2026-08-29,0.4,0,4
Desert Eagle | Printstream (Field-Tested),41,2026-08-31,0.9,0,9
Desert Eagle | Printstream (Field-Tested),42,2026-09-03,0.7,0,7
Desert Eagle | Printstream (Field-Tested),44,2026-09-05,1.0,0,10
Desert Eagle | Trigger Discipline (Factory New),30,2026-08-20,0.7,1,7
Desert Eagle | Trigger Discipline (Factory New),32,2026-08-22,0.2,0,2
Desert Eagle | Trigger Discipline (Factory New),33,2026-08-23,0.2,0,2
Desert Eagle | Trigger Discipline (Factory New),35,2026-08-25,0.1,0,1
Desert Eagle | Trigger Discipline (Factory New),36,2026-08-26,0.4,0,4
Desert Eagle | Trigger Discipline (Factory New),38,2026-08-28,0.5,1,5
Desert Eagle | Trigger Discipline (Factory New),39,2026-08-29,0.2,0,2
Desert Eagle | Trigger Discipline (Factory New),41,2026-08-31,0.0,0,0
Desert Eagle | Trigger Discipline (Factory New),42,2026-09-03,0.4,0,4
Desert Eagle | Trigger Discipline (Factory New),44,2026-09-05,0.0,0,0
Dual Berettas | Anodized Navy (Factory New),30,2026-08-20,0.3,1,3
Dual Berettas | Anodized Navy (Factory New),32,2026-08-22,0.0,0,0
Dual Berettas | Anodized Navy (Factory New),33,2026-08-23,0.0,0,0
Dual Berettas | Anodized Navy (Factory New),35,2026-08-25,0.0,0,0
Dual Berettas | Anodized Navy (Factory New),36,2026-08-26,0.1,0,1
Dual Berettas | Anodized Navy (Factory New),38,2026-08-28,0.4,0,4
Dual Berettas | Anodized Navy (Factory New),39,2026-08-29,0.0,0,0
Dual Berettas | Anodized Navy (Factory New),41,2026-08-31,0.5,0,5
Dual Berettas | Anodized Navy (Factory New),42,2026-09-03,0.6,0,6
Dual Berettas | Anodized Navy (Factory New),44,2026-09-05,0.2,0,2
Dual Berettas | Retribution (Field-Tested),30,2026-08-20,0.8,0,8
Dual Berettas | Retribution (Field-Tested),32,2026-08-22,0.9,1,9
Dual Berettas | Retribution (Field-Tested),33,2026-08-23,0.7,1,7
Dual Berettas | Retribution (Field-Tested),35,2026-08-25,0.5,1,5
Dual Berettas | Retribution (Field-Tested),36,2026-08-26,1.0,1,10
Dual Berettas | Retribution (Field-Tested),38,2026-08-28,0.6,1,6
Dual Berettas | Retribution (Field-Tested),39,2026-08-29,0.9,1,9
Dual Berettas | Retribution (Field-Tested),41,2026-08-31,0.9,1,9
Dual Berettas | Retribution (Field-Tested),42,2026-09-03,0.2,1,2
Dual Berettas | Retribution (Field-Tested),44,2026-09-05,0.3,1,3
FAMAS | Crypsis (Factory New),30,2026-08-20,1.0,0,10
FAMAS | Crypsis (Factory New),32,2026-08-22,0.3,0,3
FAMAS | Crypsis (Factory New),33,2026-08-23,0.2,0,2
FAMAS | Crypsis (Factory New),35,2026-08-25,0.5,0,5
FAMAS | Crypsis (Factory New),36,2026-08-26,0.5,0,5
